codigo,TipoVia,NombreVia,barrio,via,ViaCatastro
AL,ALAMEDA,CAPUCHINOS,MURCIA,"ALAMEDA CAPUCHINOS, MURCIA",CAPUCHINOS(ALAMEDA) en MURCIA
AL,ALAMEDA,PINOS,CHURRA,"ALAMEDA PINOS, CHURRA",PINOS(ALAMEDA) en CHURRA
AL,ALAMEDA,PINOS,PUNTAL EL,"ALAMEDA PINOS, PUNTAL EL",PINOS(ALAMEDA) en PUNTAL EL
AV,AVENIDA,1 PP INDUS SS 4-1,SANGONERA SECA,"AVENIDA 1 PP INDUS SS 4-1, SANGONERA SECA",1 PP INDUS SS 4-1(AVENIDA) en SANGONERA SECA
AV,AVENIDA,ABENARABI,MURCIA,"AVENIDA ABENARABI, MURCIA",ABENARABI(AVENIDA) en MURCIA
AV,AVENIDA,ALCANTARILLA,NONDUERMAS,"AVENIDA ALCANTARILLA, NONDUERMAS",ALCANTARILLA(AVENIDA) en NONDUERMAS
AV,AVENIDA,ALEJANDRO VALVERDE,ESPARRAGAL,"AVENIDA ALEJANDRO VALVERDE, ESPARRAGAL",ALEJANDRO VALVERDE(AVENIDA) en ESPARRAGAL
AV,AVENIDA,ALFONSO AVILES OTONS,GEA Y TRUYOLS,"AVENIDA ALFONSO AVILES OTONS, GEA Y TRUYOLS",ALFONSO AVILES OTONS(AVENIDA) en GEA Y TRUYOLS
AV,AVENIDA,ALFONSO X EL SABIO,MONTEAGUDO,"AVENIDA ALFONSO X EL SABIO, MONTEAGUDO",ALFONSO X EL SABIO(AVENIDA) en MONTEAGUDO
AV,AVENIDA,ALHAMA DE MURCIA,SANGONERA SECA,"AVENIDA ALHAMA DE MURCIA, SANGONERA SECA",ALHAMA DE MURCIA(AVENIDA) en SANGONERA SECA
AV,AVENIDA,ALICANTE,CHURRA,"AVENIDA ALICANTE, CHURRA",ALICANTE(AVENIDA) en CHURRA
AV,AVENIDA,ALICANTE,ESPARRAGAL,"AVENIDA ALICANTE, ESPARRAGAL",ALICANTE(AVENIDA) en ESPARRAGAL
AV,AVENIDA,ALICANTE,MONTEAGUDO,"AVENIDA ALICANTE, MONTEAGUDO",ALICANTE(AVENIDA) en MONTEAGUDO
